,artist,lyrics,song,weeks
21,2 Chainz Featuring Drake," [Verse 1: 2 Chainz] I am smokin' on that gas, life should be on Cinemax Movie, bought my boo bigger tits and a bigger ass Who he’s? Not I, I smoke strong; that Popeye Louie V’s in my archives, black diamonds; apartheid Bread up and my top down, on the block with a block out Hit your ass with that block-ow Dope enough to go in yo' nostrils I take your girl and kidnap her, feed her to my mattress A skeleton in my closet It's probably one of these dead-ass rappers It's probably one of these pussy-ass niggas Don’t try me, I’ll pull that trigger Got your car note in my cup, and your rent in my Swisher That pussy so good I miss ya, head game’s so vicious And all I get is cheese, like I’m takin' pictures [Hook: Drake] I say fuck you, 'less I’m with ya If I take you out of the picture I know real niggas won't miss ya No lie, no lie, no lie-ee-i-ee-i No lie, no lie, no lie-ee-i-ee-i Real niggas say word You ain't never told no lie You ain't never told no lie Real niggas say word You ain't never told no lie You ain't never told no lie Real niggas say true You ain't never told no lie You ain't never told no lie That's a thing I don’t do Nah, I just do it for the niggas That are tryna see a million 'fore they die Whattup? [Verse 2: Drake] 2 Chainz and Champagne You want true, that’s true enough Forbes list like every year, my office is my tour bus She came through, she brought food She got fucked, she knew whassup She think I’m the realest out And I say: ""Damn, that makes two of us."" Aww, that look like what’s her name Chances are it’s what's her name Chances are if she was acting up Then I fucked her once and never fucked again She could have a Grammy I still treat her ass like a nominee Just need to know what that pussy like So one time is fine with me Young as an intern, but money like I built the shit Streets talkin', they'll confirm Go ask them who just killed the shit Stay keepin' my cup full So I’m extra charged like a state tax Me and Chainz go way back We don’t talk shit, we just state facts, yes, Lord [Hook: Drake] I say fuck you, 'less I’m with ya If I take you out of the picture I know real niggas won't miss ya No lie, no lie, no lie-ee-i-ee-i No lie, no lie, no lie-ee-i-ee-i Real niggas say word You ain't never told no lie You ain't never told no lie Real niggas say word You ain't never told no lie You ain't never told no lie Real niggas say true You ain't never told no lie You ain't never told no lie That's a thing I don’t do Nah, I just do it for the niggas That are tryna see a million 'fore they die Whattup? [Verse 3: 2 Chainz] Name a nigga that want some I’ll out-rap his ass, out-trap his ass Put his ass in a plastic bag with his trashy ass Take him out, bring 'em in, them whole things 2Pac without a nose ring Thug Life, one wife, a mistress and a girlfriend I did what they say I wouldn’t Went where they say I couldn’t (Tru!) YSL belt buckle, y’all niggas sure is lookin' Y’all niggas sure is lucky, two chains on my rugby Left hand on that steering wheel, right hand on that pussy [Hook: Drake] I say fuck you, 'less I’m with ya If I take you out of the picture I know real niggas won't miss ya No lie, no lie, no lie-ee-i-ee-i No lie, no lie, no lie-ee-i-ee-i Real niggas say word You ain't never told no lie You ain't never told no lie Real niggas say word You ain't never told no lie You ain't never told no lie Real niggas say true You ain't never told no lie You ain't never told no lie That's a thing I don’t do Nah, I just do it for the niggas That are tryna see a million 'fore they die Whattup? ",No Lie,33
22,G-Eazy x Bebe Rexha," [Hook: Bebe Rexha & (G-Eazy)] Oh, it's just me, myself and I Solo ride until I die ‘Cause I got me for life (Yeah) Oh, I don't need a hand to hold Even when the night is cold I got that fire in my soul [Verse 1: G-Eazy] And as far as I can see, I just need privacy Plus a whole lot of tree, fuck all this modesty I just need space to do me Give the world what they're tryna see A Stella Maxwell right beside of me A Ferrari, I'm buyin' three A closet of Saint Laurent, get what I want when I want ‘Cause this hunger is drivin' me, yeah I just need to be alone, I just need to be at home Understand what I'm speakin' on If time is money I need a loan But regardless I'll always keep keepin' on Fuck fake friends! We don't take L's, we just make M's While y'all follow, we just make trends I'm right back to work when that break ends [Hook: Bebe Rexha & (G-Eazy)] Oh, it's just me, myself and I Solo ride until I die ‘Cause I got me for life (Got me for life, yeah) Oh I don't need a hand to hold Even when the night is cold I got that fire in my soul [Post-Hook: Bebe Rexha & (G-Eazy)] I don't need anything to get me through the night Except the beat that's in my heart Yeah, it's keepin' me alive (Keeps me alive) I don't need anything to make me satisfied (You know) ‘Cause the music does me good And it gets me every time (Yeah) [Verse 2: G-Eazy] Yeah, and I don't like talkin' to strangers So get the fuck off me, I'm anxious I'm tryna be cool, but I may just go ape shit Say ""Fuck y'all!"" to all of y'all faces It changes though now that I'm famous Everyone knows how this lifestyle is dangerous But I love it, the rush is amazin' Celebrate nightly and everyone rages I found how to cope with my angers I'm swimmin' in money Swimmin' in liquor, my liver is muddy But it's all good, I'm still sippin' this bubbly This shit is lovely, this shit ain't random, I didn't get lucky Made it right here ‘cause I'm sick with it, cuddy They all take the money for granted But don't want to work for it—tell me now, isn't it funny? [Hook: Bebe Rexha & (G-Eazy)] Oh, it's just me, myself and I Solo ride until I die ‘Cause I got me for life Oh, I don't need a hand to hold Even when the night is cold I got that fire in my soul [Post-Hook: Bebe Rexha & (G-Eazy)] I don't need anything to get me through the night Except the beat that's in my heart Yeah, it's keepin' me alive I don't need anything to make me satisfied ‘Cause the music fills me good And it gets me every time [Bridge: Bebe Rexha & (G-Eazy)] Like, ba-ba-ba-ba-da-ba Ba-ba-ba-da-ba (Yeah) Ba-ba-ba-ba-da-ba Ba-ba-ba-da-ba Ba-ba-ba-ba-da-ba Ba-ba-ba-da-ba ‘Cause the music fills me good And it gets me every time [Verse 3: G-Eazy] Yeah, lonely nights I laid awake Pray to Lord my soul to take My heart's become too cold to break Know I'm great, but I'm broke as hell Havin' dreams that I'm foldin' cake All my life I've been told to wait But I'ma get it now, yeah, it's no debate Yeah [Hook: Bebe Rexha & (G-Eazy)] Oh, it's just me, myself and I Solo ride until I die ‘Cause I got me for life (Got me for life, yeah) Oh, I don't need a hand to hold Even when the night is cold I got that fire in my soul [Post-Hook: Bebe Rexha & (G-Eazy)] I don't need anything to get me through the night Except the beat that's in my heart And it's keepin' me alive (Keeps me alive) I don't need anything to make me satisfied (You know) ‘Cause the music fills me good And it gets me every time [Bridge: Bebe Rexha] Like, ba-ba-ba-ba-da-ba Ba-ba-ba-da-ba Ba-ba-ba-ba-da-ba Ba-ba-ba-da-ba Ba-ba-ba-ba-da-ba Ba-ba-ba-da-ba ‘Cause the music fills me good And it gets me every time [Produced By Michael Keenan] [Music Video] ","Me, Myself & I",33
23,Drake Featuring Rihanna," [Hook: Rihanna] I know you've been hurt by someone else I can tell by the way you carry yourself If you let me, here's what I'll do I'll take care of you I've loved and I've lost [Verse 1: Drake] I've asked about you and they told me things But my mind didn't change and I still feel the same What's a life with no fun? Please, don't be so ashamed I've had mine, you've had yours, we both know.. we know They won't get you like I will My only wish is I die real Cause that truth hurts and those lies heal And you can't sleep thinking that he lies still So you cry still, tears all on the pillowcase Big girls all get a little taste Pushing me away so I give her space Dealing with a heart that I didn't break I be there for you, I will care for you I keep thinking you just don't know Tryna run from that, say you done with that On your face, girl, it just don't show When you're ready, just say you're ready When all the baggage just ain't as heavy And the party's over, just don't forget me We'll change the pace and we'll just go slow You won't ever have to worry, you won't ever have to hide You've seen all my mistakes so look me in my eyes [Hook: Rihanna] Cause if you let me Here is what I'll do I'll take care of you I've loved and I've lost [Verse 2: Drake] It's my birthday, I'll get high if I want to Can't deny that I want you but I'll lie if I have to Cause you don't say you love me to your friends when they ask you Even though we both know that you do...you do One time been in love one time You and all your girls in the club one time All so convinced that you're following your heart Cause your mind don't control what it does sometimes We all have our nights, though, don't be so ashamed I've had mine, you've had yours, we both know.. we know You hate being alone well you ain't the only one You hate the fact that you bought the dream and they sold you one You love your friends, but somebody should've told you some To save you.. instead they say: [Interlude: Gil Scott-Heron] Don't tell me, I don't care If you hurt, I don't tell you You don't care, if you're true Don't tell me, I don't care If you hurt, I don't tell you You don't care, if you're true [Hook: Rihanna] I know you've been hurt by someone else I can tell by the way you carry yourself If you let me, here's what I'll do I'll take care of you I've loved and I've lost ",Take Care,33
24,Nicki Minaj Featuring Drake," [Verse 1: Nicki Minaj] I fly with the stars, in the skies I am no longer trying to survive I believe that life is a prize But to live, doesn’t mean you’re alive Don’t worry bout me, and who I fire I get what I desire, it’s my empire And yes I call the shots, I am the umpire I sprinkle holy water, upon a vampire - (Pyre!)In this very moment, I’m king In this very moment, I slayed Goliath - With a sling,this very moment I bring Put it on everything, that I will retire with the ring - And I will retire with the crown, Yes! No, I’m not lucky, I’m blessed,Yes! Clap for the heavyweight champ, Me! But I couldn’t do it all alone, We! Young Money raised me,grew up out in Baisley Southside Jamaica, Queens and it’s crazy Cause I’m still hood, Hollywood couldn’t change me Shout out to my haters, sorry that you couldn’t faze me Ain't being cocky, we just vindicated,best believe that - When we're done, this moment will be syndicated, I don't know - This night, just reminds me of - Everything that they deprived me of (CHEA!) - P-P-P-P-Put ya drinks up! It’s a celebration, every time we link up We done did everything, they can think of Greatness, is what we on the brink of [Hook: Nicki Minaj] I wish that I could have this moment for life, for life, for life Cause in this moment, I just feel so alive, alive, alive I wish that I could have this moment for life, for life, for life This is my moment, I just feel so alive, alive, alive (yeah, yeah, yeah uh) [Verse 2: Drake] Yeahh, yeah, yeah, ugh What I tell ‘em hoes bow bow bow to me, drop down to ya knees Young Money the Mafia that’s word to Lil' Cease I’m in The Dominican Big Papi Ortiz Doing target practice, all these bitches just aiming to please Shout-out to the CEO 500 degrees Shout-out to the OVO, red wings and fatigues, oh Niggas wanna be friends how coincidental This supposed to be y'all year, we ain’t get the memo Young King, pay me in gold 40 got a bunch of weed, he ain’t even roll These niggas be droppin' songs they ain’t even cold Weezy on top and that nigga ain't even home, yet! Yeah, be very afraid These other rappers getting bodied and carried away Fuck it, me and Nicki Nick gettin’ married today And now you bitches that be hatin' can catch the bouquet, oh Yeah, you a star in my eyes You and all them white girls, party of five Are we drinking a lil' more? I can hardly decide I can’t believe we really made it, I’m partly surprised, I swear Damn, this one for the books, man! I swear this shit is as fun as it looks, man! I’m really tryna make it more than what it is Cause everybody dies but not everybody lives! [Hook: Nicki Minaj] I wish that I could have this moment for life, for life, for life Cause in this moment, I just feel so alive, alive, alive I wish that I could have this moment for life, for life, for life This is my moment, I just feel so alive, alive, alive [Bridge: Nick Minaj] This is my moment, I waited all my life, I can just tell it's time Drifting away, I’m one with the sunsets, I have become alive [Hook: Nicki Minaj] I wish that I could have this moment for life, for life, for life Cause in this moment, I just feel so alive, alive, alive I wish that I could have this moment for life, for life, for life This is my moment, I just feel so alive, alive, alive, alive ",Moment 4 Life,32
25,Flo Rida Featuring Sage The Gemini & Lookas," I know what you came here to see If you're a freak, then ya coming home with me And I know what you came here to do Now bust it open let me see you get loose It's going down for real It's going down for real It's going down for real Flo Rida: You girl just kissed a girl I do bi chicks Shake for a sheik I'm throwing these Emirates in the sky Spendind this As-salam alaykum Peace to M.O.N.E.Y I love my beaches, south beaches Surfboard in high tide I could just roll up Cause I'm swoled up So that birthday cake get the cobra Buggati for real, I'm cold bra That auto-biography rover Got the key to my city it's over It's no thots, only Anna Kournikova's I set records, ratchets hold up (I set records, ratchets hold u) I know what you came here to see If you're a freak, then ya coming home with me And I know what you came here to do Now bust it open let me see you get loose It's going down for real It's going down for real It's going down for real Sage the Gemini: It's going down further than femurs Girls get wetter than Katrina Yeah, my girl you never seen her Cause my tints by limousiners And my touch say it's the Midas We de-plus your man to minus My yeam blowing on that slam Make you cough-cough tha't's Bronchitis Put your hands up It's a stick up, no more makeup Get that ass on the floor Ladies put your lipstick up Double entendre, double entendre While you're hating I get money Then I double on tonkas I know that you came here to see If you're a freak, the ya coming home with me And I know what you came here to do Now bust it opne let me see you get loose It's going down for real It's going down for real It's going down for real It's going down for real It's going down for real It's going down for real Flo Rida Lift it, drop it, shake it, pop it Lift it, drop it, shake it, pop it Lift it, drop it, shake it Sage the Gemini: It's going down for real It's going down for real It's going down for real It's going down for real It's going down for real ",G.D.F.R.,32
26,Pitbull Featuring Christina Aguilera," [Intro: Pitbull] Ask for money, and get advice Ask for advice, get money twice I'm from the dirty, but that chico nice Y'all call it a moment, I call it life [Hook: Christina Aguilera] One day when the light is glowin' I’ll be in my castle golden But until the gates are open I just wanna feel this moment Oh, I just wanna feel this moment Oh, I just wanna feel this moment [Interlude: Pitbull] Mr. Worldwide Christina Aguilera Oye, mamita, come on! ¡Dale, que la cosa está rica! (I just wanna feel this moment) [Beat Break] Feel this moment! [Verse 1: Pitbull] Reporting live from the tallest building in Tokyo Long ways from them hard ways Bills and Os, and oh-yays Dade County always, 305 all day Now, baby, we can parlay, or, baby, we can party She read books, especially about red rooms and tie ups I got it hooked, ‘cause she seen me in a suit With the red tie tied up Christian Gris, nice to meet ya But time is money, only difference is I own it Now let's stop time and enjoy this moment [Hook: Christina Aguilera] One day when the light is glowin' I’ll be in my castle golden But until the gates are open I just wanna feel this moment Oh, I just wanna feel this moment Oh, I just wanna feel this moment [Beat Break] Come on, feel this moment! [Verse 2: Pitbull] I see the future but live for the moment Make sense, don't it? Now make dollars, I mean billions I'm a genius, I mean brilliant This street is what schooled him And made him slicker, to slick with the ruler I've lost a lot, and learned a lot But I'm still undefeated, like Shula I'm far from cheap I break down companies with all my peeps Baby, we can travel the world And what I can give you is all you can see Time is money, only difference is I own it Like a stop watch Let's stop time and enjoy this moment [Hook: Christina Aguilera] One day when the light is glowin' I’ll be in my castle golden But until the gates are open I just wanna feel this moment Oh, I just wanna feel this moment Oh, I just wanna feel this moment (Come on, feel this moment!) Oh, I just wanna feel this moment Oh, I just wanna feel this moment ",Feel This Moment,32
27,Post Malone Featuring Quavo," [Intro] Mm-mmm Yah, yah Mm-mmm Yah (hey) [Chorus: Post Malone] My momma called, seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say, ""Congratulations"" (uh) Worked so hard, forgot how to vacation (uh-huh) They ain't never had the dedication (uh) People hatin', say we changed and look, we made it (uh) Yeah, we made it (uh) [Verse 1: Post Malone] They was never friendly, yeah Now I'm jumping out the Bentley, yeah And I know I sound dramatic, yeah But I know I had to have it, yeah For the money, I'm a savage, yeah I be itching like a addict, yeah I'm surrounded, twenty bad bitches, yuh But they didn't know me last year, yuh Everyone wanna act like they important (yeah) But all that mean nothing when I saw my dough, yuh (yeah) Everyone countin' on me, drop the ball, yuh (yeah) Everything custom like I'm at the border, yah, yah If you fuck with winning, put your lighters to the sky How could I make sense when I got millions on my mind? Coming with that bullshit, I just put it to the side Balling since a baby, they could see it in my eyes [Chorus: Post Malone & Quavo] My momma called, seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say, ""Congratulations"" (congratulations) Worked so hard, forgot how to vacation (ooh) They ain't never had the dedication (uh, ayy) People hatin', say we changed and look we made it (uh) Yeah, we made it (uh, yah) [Verse 2: Quavo] I was patient (yah) Uh, I was patient (ayy, uh) Now I can scream that we made it (we made it) Now everywhere, everywhere I go, they say 'gratulation (uh) Young nigga, young nigga, graduation (yah) I pick up the rock and I ball, baby (ball) I'm looking for someone to call, baby (brr) But right now, I got a situation (ayy) Never old Ben-Ben Franklins (cash) Big rings, champagne (ooh, champagne) My life is like a ball game (ball game) But instead I'm in the trap though (trap though) Pot so big, call it Super Bowl (Super Bowl) Super Bowl, call the hoes (brr) Get in the Rolls (skrrt) Top-floor lifestyle (top) Huncho and Post (yah, ayy) Malone (ayy) I gotta play on my phone (ayy) You know what I'm on (ayy) Huncho Houdini is gone (ayy) [Chorus: Post Malone & Quavo] My momma called, seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say, ""Congratulations"" (ayy, uh) Worked so hard, forgot how to vacation (uh-huh, ooh) They ain't never had the dedication (ayy, uh) People hatin', say we changed and look we made it (yah, uh) Yeah, we made it (ayy) [Outro] Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey ",Congratulations,32
28,Lupe Fiasco," [Intro] LA-SER Yeah, yeah Kane is in the building, nigga [Hook] Alright, already, the show goes on All night, 'til the morning we dream so long Anybody ever wonder When they would see the sun up Just remember when you come up The show goes on, alright Already, the show goes on All night, 'til the morning we dream so long Anybody ever wonder When they would see the sun up Just remember when you come up The show goes on [Verse 1] Have you ever had the feelin' that you was bein' had? Don’t that shit there make you mad? They treat you like a slave Put chains all on your soul and put whips up on your back They be lyin' through they teeth Hope you slip up off your path I don’t switch up, I just laugh Put my kicks up on they desk Unaffected by they threats Then get busy on they ass See, that's how that Chi-Town made me That's how my daddy raised me That glitterin’ may not be gold Don’t let nobody play me If you are my homeboy, you never have to pay me Go in and put your hands up When times is hard you stand up L-U-P the man, ‘cause the brand that the fans trust So even if they ban us, they’ll never slow my plans up [Hook] Alright, already, the show goes on All night, 'til the morning we dream so long Anybody ever wonder When they would see the sun up Just remember when you come up The show goes on, alright Already, the show goes on All night, 'til the morning we dream so long Anybody ever wonder When they would see the sun up Just remember when you come up The show goes on [Verse 2] One in the air for the people ain’t here Two in the air for the father that’s there Three in the air for the kids in the ghetto Four for the kids that don’t wanna be there None for the niggas tryna hold them back Five in the air for the teachers not scared To tell those kids that’s livin' in the ghetto That the niggas holdin' back, that the world is theirs Yeah, yeah, the world is yours, I was once that little boy Terrified of the world, now I’m on a world tour I would give up everything, even start a world war For these ghetto girls and boys I’m rappin' round the world for Africa to New York, Haiti, then I detour Oakland out to Auckland, Gaza Strip to Detroit Say hip-hop only destroy, tell ‘em look at me, boy I hope your son don’t have a gun and never be a d-boy [Hook] Alright, already, the show goes on All night, 'til the morning we dream so long Anybody ever wonder When they would see the sun up Just remember when you come up The show goes on, alright Already, the show goes on All night, 'til the morning we dream so long Anybody ever wonder When they would see the sun up Just remember when you come up The show goes on [Verse 3] So, no matter what you been through No matter what you into No matter what you see when you look outside your window Brown grass or green grass, picket fence or barbed wire Never ever put them down, you just lift your arms higher Raise ‘em 'til your arms tired, let ‘em know you here That you strugglin', survivin', that you gon’ persevere Yeah, ain’t nobody leavin', nobody goin' home Even if they turn the lights out, the show is goin' on [Hook] Alright, already, the show goes on All night, 'til the morning we dream so long Anybody ever wonder When they would see the sun up Just remember when you come up The show goes on, alright Already, the show goes on All night, 'til the morning we dream so long Anybody ever wonder When they would see the sun up Just remember when you come up The show goes on [Outro] The show goes on The show goes on The show goes on The show goes on ",The Show Goes On,31
29,Big Sean Featuring Chris Brown," [Produced by No I.D.] [Intro: Chris Brown] Hands up in the air I just want the, I just want the baddest bitch in the world Right here on my lap [Hook: Chris Brown] And I'ma hit this drink up like it's my last I'ma, I'ma hit this night up like it's my last I'ma, I'ma hit this ass up, like it's my last Swear I'ma, swear I'ma do it like Like I never had it at a-a-a-all, a-a-a-all Like I, like I never had it at a-a-a-all, a-a-a-all [Verse 1: Big Sean] Okay, now where that alcohol? You ain't even got to ask ‘Cause I'ma drink it all like, like it's my last She a 7 in the face but a 10 in the ass She even look better by the end of my glass See, I just walked in fresher Than the Certs off in this muhfucka I'ma need the baddest broad to twerk off in this muhfucka I'ma go hard until it hurts off in this muhfucka I'm a boss, so you gotta work off in this muhfucka You don't have to work, and I can get you anythin' you want I could, I could, I could, I could put you on See, you look like Beyoncé, so do it like Beyon Do it like Beyoncé, and put it on Sean Grind hard, but I got a lot to show for it Always had drive, like I had to chauffeur it My team's so true we should get a camera crew To follow us around and make a show for us [Hook: Chris Brown] And I'ma hit this drink up like it's my last I'ma, I'ma hit this night up like it's my last I'ma, I'ma hit this ass up, like it's my last Swear I'ma, swear I'ma do it like Like I never had it at a-a-a-all, a-a-a-all Like I, like I never had it at a-a-a-all, a-a-a-all A-a-a-all, a-a-a-all Like I, like I never had it at a-a-a-all, a-a-a-all [Verse 2: Big Sean] Now I'ma fill this glass up like it's my last I'ma, I'ma blow this bag up like it's my last I'ma, I'ma spend this cash up like it's my last And I'ma make it last, like it's my last And I'm gone, can't remember where I am But she forget about her man when they tell her who I am And they introduce my fan, now she all up in my space All, all up in my face, like, ""You remember who I am?"" Since I signed to Kan', I'm Louis Vuitton Sean Up in Benny Han Han eatin' all the Wonton Rosé rose over a little Chandon Put her hands down my pants, now she rockin' Sean john Man, I just ended up on everybody guest list I'm just doin' better than what everyone projected I knew that I'd be here, so if you asked me how I feel I'ma just tell you, it's everythin' that I expected, bitch [Bridge: Chris Brown & Big Sean] Hands up in the air One time for the Westside, Westside, let me see them Hands up in the air D-Town! Two times if you love G.O.O.D. Music Hands up in the air And three times for the baddest chick in the world who got her Hands up in the air (Yeah) [Hook: Chris Brown] And I'ma hit this drink up like it's my last I'ma, I'ma hit this night up like it's my last I'ma, I'ma hit this ass up, like it's my last Swear I'ma, swear I'ma do it like Like I never had it at a-a-a-all, a-a-a-all Like I, like I never had it at a-a-a-all, a-a-a-all [Verse 3: Chris Brown] Big ass bottles, big ice buckets I work too hard to be ballin' on a budget Me and my people do it big out in public ‘Cause if you don't do it big, bitch, you ain't doin' nothin' [Hook: Chris Brown] And I'ma hit this drink up like it's my last I'ma, I'ma hit this night up like it's my last I'ma, I'ma hit this ass up, like it's my last Swear I'ma, swear I'ma do it like Like I never had it at a-a-a-all, a-a-a-all Like I, like I never had it at a-a-a-all, a-a-a-all A-a-a-all, a-a-a-all Like I, like I never had it at a-a-a-all, a-a-a-all [Outro: Big Sean] D-Town! G.O.O.D.! ",My Last,31
30,Kid Ink Featuring Chris Brown," [Intro] Mustard on the beat, ho [Bridge 1: Chris Brown] Baby let me put your panties to the side I'mma make you feel alright ‘Cause I'mma give you what you need, yeah Mami you remind me of something But I don’t know what it is Cause you remind me of something Girl you gotta show me You remind me of something But I don’t know what it is right now You remind me of something Girl you gotta show me [Verse 1: Kid Ink] Uh, on the real no lie I don’t know what it is but you just my type Everything just right, B said put it to the left Don’t listen to the hype though Got a cup in your hand Baby sitting but you ain’t got no kids We ain’t leaving ’til there ain’t no more left Can’t see no time on the Rolex I could tell you a freak, go show it Looking for the after party, where the door at? Dough on the floor like a doormat Baby you know where to throw that I said... [Hook: Chris Brown] Mami you remind me of something But I don’t know what it is Cause you remind me of something Girl you gotta show me, yeah You remind me of something But I don't know what it is right now Cause you remind me of something Girl you gotta show me [Bridge 2: Chris Brown & Kid Ink] Baby if you know what it is On a real, can’t lie, man you just my type Hands in the air looking for a bitch right now On a real, can’t lie, man you just my type [Verse 2: Kid Ink] Uh, so tell me what your name is I don’t really care who you came with (no) Unless you got a couple friends look like you My bad if my ex try to fight you Roll up soon as I roll in Security better get with the program Too deep, ain't know where to stand So high, ain’t nowhere to land You remind me of something missing Missus, you got my full attention Listen, let go of the tension If I get a minute, I’ll put your bad ass in detention [Bridge 1: Chris Brown] Baby let me put your panties to the side I'mma make you feel alright ‘Cause I'mma give you what you need, yeah Mami you remind me of something But I don’t know what it is Cause you remind me of something Girl you gotta show me You remind me of something But I don’t know what it is right now You remind me of something Girl you gotta show me [Bridge 2: Chris Brown & Kid Ink] Baby if you know what it is On a real, can’t lie, man you just my type Hands in the air looking for a bitch right now On a real, can’t lie, man you just my type [Break: Chris Brown] Oh baby show me, show me something Tomorrow I might be hungover, but that don't mean nothing You see all night long, I've been wrong Baby show me something She gon' let me do it [Bridge 1: Chris Brown] Baby let me put your panties to the side I'mma make you feel alright ‘Cause I'mma give you what you need, yeah Mami you remind me of something But I don’t know what it is Cause you remind me of something Girl you gotta show me You remind me of something But I don’t know what it is right now You remind me of something Girl you gotta show me ",Show Me,31
31,Chris Brown Featuring Lil Wayne & Busta Rhymes," [Produced by Free School, Diplo, and Afrojack] [Intro: Chris Brown] I don’t see how you can hate from outside of the club—you can’t even get in! Ha ha ha! Leggo! [Verse 1: Chris Brown] Yellow model chick, yellow bottle sippin' Yellow Lamborghini, yellow top missin' Yeah, yeah, that shit look like a toupee I get what you get in ten years—in two days Ladies love me, I'm on my Cool J If you get what I get, what would you say? She wax it all off—Mr. Miyagi And them suicide doors, hari-kari [Hook: Chris Brown] Look at me now, look at me now (Oh) I’m gettin' paper Look at me now (Oh) look at me now (Yeah) Fresher than a muh'fucka [Verse 2: Chris Brown] Lil' nigga, bigger than gorilla ‘Cause I’m killin' every nigga that can try to be on my shit Better cuff your chick if you with her, I can get her And she accidentally slip and fall on my dick Oops, I said, ""On my dick"" I ain’t really mean to say, ""on my dick"" But since we're talking about my dick All of you haters say hi to it—I’m done [Interlude: Busta Rhymes] Ayo, Breezy, let me show you how to keep the dice rollin' When you're doing that thing over there, homie! Let's go! [Verse 3: Busta Rhymes] ‘Cause I'm feeling like I’m running And I'm feeling like I gotta get away, get away, get away Better know that I don't and I won't ever stop ‘Cause you know I gotta win everyday-day See, they really really wanna pop me Just know that you will never flop me And I know that I can be a little cocky You ain't never gonna stop me Everytime I come, a nigga gotta set it Then I gotta go, and then I gotta get it Then I gotta blow, and then I gotta show that Any little thing that nigga think that he be doing ‘Cause it doesn't matter, ‘cause I'm gonna da-da-da-da Then I'm gonna murder everything and anything A ba-da-boom, a ba-da-bing, I gotta do a lotta things That make it clearer to a couple niggas That I always win and then I gotta get it again And again, and then again And I be doing it to death And now I move a little foul, a nigga better call a ref And everybody know my style And niggas know that I'm the best When it come to doing this and I be bangin' on my chest And I bang in the East and I'm bangin' in the West And I come to give you more and I will never give you less You will hear it in the street or you could read it in the press Do you really wanna know what's next? (Let's go!) See the way we on and then we all up in the race And you know we gotta go Don't try to keep up with the pace And we strugglin' and hustlin' and sendin' in and gettin' in And we always gotta do it, take it to another place Gotta taste it, and I gotta grab it And I gotta cut all through this traffic Just to be at the top of the throne, better know I gotta have it [Hook: Chris Brown] Look at me now, look at me now (Oh) I’m gettin' paper Look at me now (Oh) look at me now (Yeah) Fresher than a muh'fucka [Verse 4: Lil Wayne] Man, fuck these bitch-ass niggas! How y’all doing? I’m Lil Tunechi, I’m a nuisance I go stupid, I go dumb, like the Three Stooges I don’t eat sushi, I’m the shit No, I’m pollution, no substitution Got a bitch that play in movies in my jacuzzi, pussy juicy I never gave a fuck about a hater Got money on my radar, dressed like a skater Got a big house, came with a elevator You niggas ain’t eatin’, fuck it, tell a waiter Marley said shoot ‘em, and I said okay If you wanted bullshit, then I’m like, ""¡Olé!"" I don’t care what you say, so don’t even speak Your girlfriend a freak like Cirque Du Soleil That’s word to my flag, and my flag red I’m out of my head, bitch I’m outta my mind, from the bottom I climb You ain’t hotter than mine, nope Not on my time, and I’m not even tryin' What's poppin', slime? Nothing, five And if they trippin’, fuck ‘em, five I ain’t got no time to shuck and jive These niggas as sweet as pumpkin pie Cîroc and Sprite on a private flight Bitch, I been tight since Guiding Light And my pockets right, and my diamonds white And my momma's nice, and my daddy’s dead You faggots scared ‘cause I’m too wild Been here for a while, I was like, ""Fuck trial!"" I puts it down, I’m so Young Money If you got eyes, look at me now, bitch! [Hook: Chris Brown] Look at me now, look at me now (Oh) I’m gettin' paper Look at me now (Oh) look at me now (Yeah) Fresher than a muh'fucka [Outro: Chris Brown] Okay Okay Is that right? I’m fresher than a muh'fucka! ",Look At Me Now,31
